id,driving_style,car_type,rating
1,aggressive,family,2.25
24,aggressive,family,3.5
25,aggressive,family,3.25
27,aggressive,family,1.0
30,aggressive,family,2.5
31,aggressive,family,1.25
32,aggressive,family,3.5
36,aggressive,family,3.25
38,aggressive,family,1.75
39,aggressive,family,2.0
40,aggressive,family,2.75
41,aggressive,family,3.0
42,aggressive,family,3.0
1,defensive,family,2.25
24,defensive,family,2.0
25,defensive,family,3.75
27,defensive,family,3.25
30,defensive,family,1.75
31,defensive,family,1.5
32,defensive,family,3.75
36,defensive,family,2.75
38,defensive,family,3.5
39,defensive,family,2.0
40,defensive,family,3.5
41,defensive,family,1.5
42,defensive,family,2.5
1,aggressive,sports,2.75
24,aggressive,sports,2.75
25,aggressive,sports,4.0
27,aggressive,sports,2.25
30,aggressive,sports,2.75
31,aggressive,sports,2.0
32,aggressive,sports,2.5
36,aggressive,sports,3.0
38,aggressive,sports,2.25
39,aggressive,sports,2.75
40,aggressive,sports,2.75
41,aggressive,sports,3.0
42,aggressive,sports,3.0
1,defensive,sports,3.25
24,defensive,sports,2.5
25,defensive,sports,3.75
27,defensive,sports,3.75
30,defensive,sports,2.25
31,defensive,sports,3.0
32,defensive,sports,2.75
36,defensive,sports,3.0
38,defensive,sports,3.0
39,defensive,sports,2.0
40,defensive,sports,4.25
41,defensive,sports,2.0
42,defensive,sports,3.0
